12
1 2 3 4 5 6 7 8 9 10 11 12
-1.0 12.0 6.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 
12.0 -1.0 -1.0 17.0 11.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 
6.0 -1.0 -1.0 7.0 23.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 
-1.0 17.0 7.0 -1.0 -1.0 5.0 -1.0 -1.0 -1.0 -1.0 -1.0 21.0 
-1.0 11.0 23.0 -1.0 -1.0 25.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 
-1.0 -1.0 -1.0 5.0 25.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 
-1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 9.0 -1.0 -1.0 -1.0 18.0 
-1.0 -1.0 -1.0 -1.0 -1.0 -1.0 9.0 -1.0 -1.0 -1.0 -1.0 -1.0 
-1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 14.0 -1.0 -1.0 
-1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 14.0 -1.0 13.0 19.0 
-1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 13.0 -1.0 -1.0 
-1.0 -1.0 -1.0 21.0 -1.0 -1.0 18.0 -1.0 -1.0 19.0 -1.0 -1.0 
